Suburb,House,Unit,Townhouse,House_vs_Unit_Premium_Pct
Kew,2200000,666000,895000,230.3
Camberwell,2107500,693000,1265000,204.1
Glen Iris,1877500,690000,1200000,172.1
Brighton,2375000,897000,1552500,164.8
Richmond,1275000,561000,1081000,127.3
Brunswick,1105000,496000,759500,122.8
Northcote,1335000,600000,882500,122.5
Brighton East,1655000,775000,1302500,113.5
Moonee Ponds,1272500,600000,880250,112.1
Balwyn North,1800000,852500,1322500,111.1
Essendon,1360000,660000,864000,106.1
Bentleigh,1387500,725000,1245000,91.4
Reservoir,785500,432500,615000,81.6
Preston,930000,513500,714000,81.1
Newport,1005000,600000,863750,67.5
Glenroy,721000,442000,545000,63.1
Pascoe Vale,835000,515000,585500,62.1
Coburg,987500,620000,688500,59.3
Bentleigh East,1190000,761000,952500,56.4
Yarraville,985500,709500,1040000,38.9
