Suburb,Median_Price,Mean_Price,Transaction_Count,Distance_to_CBD,Median_Price_per_sqm,Median_Bedrooms,Vs_Market_Median_Pct,Investment_Rating
Brighton,1961000,2094730,152,11.0,4571.0,3.0,83.3,PREMIUM
Kew,1950000,2053245,139,6.0,3822.0,3.0,82.2,PREMIUM
Camberwell,1800000,1823274,121,8.0,3618.0,3.0,68.2,PREMIUM
Glen Iris,1750500,1780063,166,9.0,3134.0,3.0,63.6,PREMIUM
Balwyn North,1740000,1808388,167,9.0,2679.0,4.0,62.6,PREMIUM
Brighton East,1600000,1594186,133,11.0,2954.0,3.0,49.5,PREMIUM
Bentleigh,1307000,1330469,128,13.0,2543.0,3.0,22.1,AT MARKET
Northcote,1302500,1380819,162,6.0,4079.0,3.0,21.7,AT MARKET
Moonee Ponds,1240000,1241404,123,7.0,3062.0,3.0,15.9,AT MARKET
Richmond,1200000,1222059,196,3.0,6794.0,3.0,12.1,AT MARKET
Essendon,1165000,1214954,173,8.0,2692.0,3.0,8.9,AT MARKET
Bentleigh East,1100000,1104541,240,14.0,2244.0,3.0,2.8,AT MARKET
Brunswick,1037000,1085334,187,5.0,4130.0,3.0,-3.1,BELOW MARKET
Newport,984000,1083031,130,8.0,2722.0,3.0,-8.0,BELOW MARKET
Yarraville,982500,1048153,147,7.0,3155.0,3.0,-8.2,BELOW MARKET
Coburg,944000,968138,170,8.0,2510.0,3.0,-11.8,BELOW MARKET
Preston,910000,913337,230,9.0,1977.0,3.0,-15.0,BELOW MARKET
Pascoe Vale,770000,787591,164,10.0,1745.0,3.0,-28.0,BELOW MARKET
Reservoir,705000,705751,337,11.0,1503.0,3.0,-34.1,VALUE BUY
Glenroy,677500,681546,154,13.0,1173.0,3.0,-36.7,VALUE BUY
