Date,Year,Month_Num,Month_Name,Month_Short,Quarter_Num,Quarter,Quarter_Label,Year_Quarter,Is_First_Quarter,Is_Last_Quarter
2016-02-04,2016,2,February,Feb,1,2016Q1,Q1 2016,2016-Q1,True,False
2016-04-16,2016,4,April,Apr,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-04-23,2016,4,April,Apr,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-05-07,2016,5,May,May,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-05-14,2016,5,May,May,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-05-22,2016,5,May,May,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-05-28,2016,5,May,May,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-06-04,2016,6,June,Jun,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-06-12,2016,6,June,Jun,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-06-18,2016,6,June,Jun,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-06-27,2016,6,June,Jun,2,2016Q2,Q2 2016,2016-Q2,False,False
2016-07-16,2016,7,July,Jul,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-07-26,2016,7,July,Jul,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-07-30,2016,7,July,Jul,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-08-06,2016,8,August,Aug,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-08-13,2016,8,August,Aug,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-08-22,2016,8,August,Aug,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-08-28,2016,8,August,Aug,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-09-03,2016,9,September,Sep,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-09-10,2016,9,September,Sep,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-09-17,2016,9,September,Sep,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-09-24,2016,9,September,Sep,3,2016Q3,Q3 2016,2016-Q3,False,False
2016-10-08,2016,10,October,Oct,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-10-15,2016,10,October,Oct,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-11-07,2016,11,November,Nov,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-11-12,2016,11,November,Nov,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-11-19,2016,11,November,Nov,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-11-27,2016,11,November,Nov,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-12-03,2016,12,December,Dec,4,2016Q4,Q4 2016,2016-Q4,False,False
2016-12-10,2016,12,December,Dec,4,2016Q4,Q4 2016,2016-Q4,False,False
2017-02-11,2017,2,February,Feb,1,2017Q1,Q1 2017,2017-Q1,False,False
2017-02-25,2017,2,February,Feb,1,2017Q1,Q1 2017,2017-Q1,False,False
2017-03-04,2017,3,March,Mar,1,2017Q1,Q1 2017,2017-Q1,False,False
2017-03-11,2017,3,March,Mar,1,2017Q1,Q1 2017,2017-Q1,False,False
2017-03-18,2017,3,March,Mar,1,2017Q1,Q1 2017,2017-Q1,False,False
2017-04-08,2017,4,April,Apr,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-04-22,2017,4,April,Apr,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-04-29,2017,4,April,Apr,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-05-06,2017,5,May,May,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-05-13,2017,5,May,May,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-05-20,2017,5,May,May,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-05-27,2017,5,May,May,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-06-03,2017,6,June,Jun,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-06-17,2017,6,June,Jun,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-06-24,2017,6,June,Jun,2,2017Q2,Q2 2017,2017-Q2,False,False
2017-07-01,2017,7,July,Jul,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-07-08,2017,7,July,Jul,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-07-15,2017,7,July,Jul,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-07-22,2017,7,July,Jul,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-07-29,2017,7,July,Jul,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-08-12,2017,8,August,Aug,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-08-19,2017,8,August,Aug,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-08-26,2017,8,August,Aug,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-09-03,2017,9,September,Sep,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-09-09,2017,9,September,Sep,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-09-16,2017,9,September,Sep,3,2017Q3,Q3 2017,2017-Q3,False,True
2017-09-23,2017,9,September,Sep,3,2017Q3,Q3 2017,2017-Q3,False,True
