TransactionID,Suburb,Date,PropertyType,Price,Bedrooms,Bathrooms,Car_Spaces,Landsize,Price_per_sqm,Suburb_Median,Price_Deviation
1,Balwyn North,2016-09-03,Townhouse,1315000.0,3,2.0,2.0,260.0,5057.692307692308,1740000.0,-0.2442528735632184
2,Balwyn North,2016-09-03,House,1500000.0,3,2.0,1.0,778.0,1928.0205655526993,1740000.0,-0.1379310344827586
3,Balwyn North,2016-09-03,House,3230000.0,4,4.0,3.0,1135.0,2845.814977973568,1740000.0,0.8563218390804598
4,Balwyn North,2016-09-03,House,1080000.0,2,1.0,1.0,253.0,4268.774703557312,1740000.0,-0.3793103448275862
5,Balwyn North,2016-12-03,House,1350000.0,7,2.0,0.0,942.0,1433.1210191082805,1740000.0,-0.2241379310344827
6,Balwyn North,2016-12-03,House,1905000.0,4,2.0,2.0,647.0,2944.3585780525505,1740000.0,0.0948275862068965
7,Balwyn North,2016-12-03,House,3300000.0,5,4.0,2.0,760.0,4342.105263157895,1740000.0,0.896551724137931
8,Balwyn North,2016-12-03,House,1900000.0,4,2.0,2.0,642.0,2959.5015576323985,1740000.0,0.0919540229885057
9,Balwyn North,2016-12-03,House,2251000.0,3,1.0,2.0,888.0,2534.90990990991,1740000.0,0.2936781609195402
10,Balwyn North,2016-12-03,House,2205000.0,4,2.0,2.0,750.0,2940.0,1740000.0,0.2672413793103448
11,Balwyn North,2016-12-03,House,1265000.0,3,2.0,1.0,347.0,3645.533141210374,1740000.0,-0.2729885057471264
12,Balwyn North,2017-03-04,House,2000000.0,3,1.0,3.0,772.0,2590.6735751295337,1740000.0,0.1494252873563218
13,Balwyn North,2017-03-04,House,1750000.0,4,2.0,2.0,673.0,2600.297176820208,1740000.0,0.0057471264367816
14,Balwyn North,2017-03-04,House,1450000.0,3,1.0,2.0,665.0,2180.4511278195487,1740000.0,-0.1666666666666666
15,Balwyn North,2017-03-04,House,2614000.0,4,2.0,2.0,772.0,3386.0103626943005,1740000.0,0.5022988505747127
16,Balwyn North,2017-03-04,House,1825000.0,4,2.0,3.0,736.0,2479.6195652173915,1740000.0,0.0488505747126436
17,Balwyn North,2017-03-04,House,2550000.0,4,1.0,4.0,847.0,3010.625737898465,1740000.0,0.4655172413793103
18,Balwyn North,2016-06-04,House,1570000.0,4,2.0,1.0,546.0,2875.4578754578756,1740000.0,-0.0977011494252873
19,Balwyn North,2016-08-06,House,3250000.0,5,4.0,2.0,886.0,3668.171557562077,1740000.0,0.867816091954023
20,Balwyn North,2016-08-06,House,1750000.0,4,3.0,3.0,667.0,2623.688155922039,1740000.0,0.0057471264367816
21,Balwyn North,2016-08-06,Townhouse,1150000.0,3,2.0,1.0,207.0,5555.555555555556,1740000.0,-0.3390804597701149
22,Balwyn North,2016-08-06,House,1575000.0,3,2.0,2.0,645.0,2441.860465116279,1740000.0,-0.0948275862068965
23,Balwyn North,2016-05-07,House,1505000.0,6,2.0,2.0,724.0,2078.729281767956,1740000.0,-0.1350574712643678
24,Balwyn North,2016-05-07,House,1572000.0,4,2.0,2.0,662.0,2374.6223564954685,1740000.0,-0.096551724137931
25,Balwyn North,2016-05-07,House,1500000.0,4,2.0,2.0,610.0,2459.0163934426228,1740000.0,-0.1379310344827586
26,Balwyn North,2016-05-07,Townhouse,1400000.0,4,2.0,1.0,283.0,4946.9964664310955,1740000.0,-0.1954022988505747
27,Balwyn North,2016-11-07,House,1750000.0,5,3.0,2.0,705.0,2482.2695035460993,1740000.0,0.0057471264367816
28,Balwyn North,2016-11-07,House,1850000.0,4,2.0,2.0,619.0,2988.691437802908,1740000.0,0.0632183908045977
29,Balwyn North,2016-11-07,House,1480000.0,3,1.0,2.0,992.0,1491.9354838709678,1740000.0,-0.1494252873563218
30,Balwyn North,2016-10-08,House,1400000.0,4,2.0,2.0,714.0,1960.7843137254904,1740000.0,-0.1954022988505747
31,Balwyn North,2016-10-08,House,2130000.0,4,3.0,2.0,1274.0,1671.899529042386,1740000.0,0.2241379310344827
32,Balwyn North,2016-10-08,Unit,1050000.0,3,2.0,2.0,244.0,4303.2786885245905,1740000.0,-0.396551724137931
33,Balwyn North,2016-10-08,House,3690000.0,5,4.0,2.0,624.0,5913.461538461538,1740000.0,1.1206896551724137
34,Balwyn North,2016-09-10,House,1740000.0,4,2.0,2.0,610.0,2852.4590163934427,1740000.0,0.0
35,Balwyn North,2016-09-10,House,2575000.0,4,3.0,2.0,657.0,3919.330289193303,1740000.0,0.4798850574712643
36,Balwyn North,2016-09-10,House,1388800.0,4,2.0,1.0,517.0,2686.2669245647967,1740000.0,-0.2018390804597701
37,Balwyn North,2016-12-10,House,1702000.0,4,2.0,2.0,715.0,2380.4195804195806,1740000.0,-0.0218390804597701
38,Balwyn North,2016-12-10,House,1800000.0,4,2.0,4.0,587.0,3066.4395229982965,1740000.0,0.0344827586206896
39,Balwyn North,2016-12-10,House,2910000.0,4,3.0,2.0,1070.0,2719.626168224299,1740000.0,0.6724137931034483
40,Balwyn North,2016-12-10,House,1400000.0,2,1.0,1.0,694.0,2017.2910662824208,1740000.0,-0.1954022988505747
41,Balwyn North,2016-12-10,Townhouse,860000.0,2,2.0,2.0,204.0,4215.686274509804,1740000.0,-0.5057471264367817
42,Balwyn North,2017-03-11,House,1670000.0,4,3.0,2.0,689.0,2423.802612481858,1740000.0,-0.0402298850574712
43,Balwyn North,2016-06-12,House,1500000.0,5,1.0,1.0,800.0,1875.0,1740000.0,-0.1379310344827586
44,Balwyn North,2016-06-12,House,2200000.0,5,3.0,2.0,900.0,2444.4444444444443,1740000.0,0.264367816091954
45,Balwyn North,2016-11-12,House,1350000.0,4,2.0,2.0,815.0,1656.441717791411,1740000.0,-0.2241379310344827
46,Balwyn North,2016-11-12,House,2070000.0,5,2.0,1.0,1138.0,1818.980667838313,1740000.0,0.1896551724137931
47,Balwyn North,2016-11-12,House,1300000.0,3,1.0,2.0,464.0,2801.7241379310344,1740000.0,-0.2528735632183908
48,Balwyn North,2016-08-13,House,1700000.0,3,2.0,3.0,763.0,2228.0471821756228,1740000.0,-0.0229885057471264
49,Balwyn North,2016-08-13,House,1750000.0,3,1.0,2.0,854.0,2049.1803278688526,1740000.0,0.0057471264367816
50,Balwyn North,2016-05-14,House,980000.0,3,1.0,1.0,542.0,1808.1180811808115,1740000.0,-0.4367816091954023
51,Balwyn North,2016-05-14,House,1230000.0,3,3.0,1.0,310.0,3967.7419354838703,1740000.0,-0.293103448275862
52,Balwyn North,2016-05-14,House,2600000.0,7,3.0,3.0,637.0,4081.6326530612246,1740000.0,0.4942528735632184
53,Balwyn North,2016-05-14,House,1950000.0,4,3.0,2.0,665.0,2932.33082706767,1740000.0,0.1206896551724138
54,Balwyn North,2016-10-15,House,1750000.0,5,2.0,2.0,710.0,2464.788732394366,1740000.0,0.0057471264367816
55,Balwyn North,2016-10-15,House,2000000.0,5,2.0,2.0,1002.0,1996.007984031936,1740000.0,0.1494252873563218
56,Balwyn North,2016-10-15,House,1480000.0,3,1.0,4.0,605.0,2446.280991735537,1740000.0,-0.1494252873563218
57,Balwyn North,2016-10-15,House,3000000.0,4,3.0,2.0,1247.0,2405.7738572574176,1740000.0,0.7241379310344828
58,Balwyn North,2016-10-15,House,1818000.0,3,1.0,1.0,722.0,2518.005540166205,1740000.0,0.0448275862068965
59,Balwyn North,2016-04-16,House,2170000.0,4,2.0,2.0,1040.0,2086.5384615384614,1740000.0,0.2471264367816092
60,Balwyn North,2016-04-16,House,2525000.0,4,2.0,2.0,1235.0,2044.5344129554655,1740000.0,0.4511494252873563
61,Balwyn North,2016-04-16,House,3360000.0,4,3.0,1.0,904.0,3716.814159292035,1740000.0,0.9310344827586208
