Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price_per_sqm,Year,Month,Quarter,PropertyType,Suburb_Median,Price_Deviation
Balwyn North,3/41 Clifton St,3,t,1315000.0,S,hockingstuart,2016-09-03,9.2,3104.0,3.0,2.0,2.0,260.0,167.0,2000.0,Boroondara,-37.7966,145.1021,Southern Metropolitan,7809.0,5057.692307692308,2016,9,2016Q3,Townhouse,1740000.0,-0.2442528735632184
Balwyn North,153 Doncaster Rd,3,h,1500000.0,PI,Jellis,2016-09-03,9.2,3104.0,3.0,2.0,1.0,778.0,154.0,1950.0,Boroondara,-37.7939,145.0789,Southern Metropolitan,7809.0,1928.0205655526993,2016,9,2016Q3,House,1740000.0,-0.13793103448275862
Balwyn North,19 Jacka St,4,h,3230000.0,S,Jellis,2016-09-03,9.2,3104.0,4.0,4.0,3.0,1135.0,275.0,1960.0,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809.0,2845.814977973568,2016,9,2016Q3,House,1740000.0,0.8563218390804598
Balwyn North,32 Jaserfold St,2,h,1080000.0,S,Jellis,2016-09-03,9.2,3104.0,2.0,1.0,1.0,253.0,,,Boroondara,-37.7912,145.085,Southern Metropolitan,7809.0,4268.774703557312,2016,9,2016Q3,House,1740000.0,-0.3793103448275862
Balwyn North,30 Abbott St,7,h,1350000.0,PI,Barry,2016-12-03,9.2,3104.0,7.0,2.0,0.0,942.0,,,Boroondara,-37.7923,145.1029,Southern Metropolitan,7809.0,1433.1210191082803,2016,12,2016Q4,House,1740000.0,-0.22413793103448276
Balwyn North,25 Bolinda Rd,4,h,1905000.0,S,Noel,2016-12-03,9.2,3104.0,4.0,2.0,2.0,647.0,185.0,1955.0,Boroondara,-37.7917,145.0868,Southern Metropolitan,7809.0,2944.3585780525505,2016,12,2016Q4,House,1740000.0,0.09482758620689655
Balwyn North,3 Dumblane St,5,h,3300000.0,PI,hockingstuart,2016-12-03,9.2,3104.0,5.0,4.0,2.0,760.0,477.0,2015.0,Boroondara,-37.7907,145.0907,Southern Metropolitan,7809.0,4342.105263157895,2016,12,2016Q4,House,1740000.0,0.896551724137931
Balwyn North,30 Hood St,4,h,1900000.0,VB,Fletchers,2016-12-03,9.2,3104.0,4.0,2.0,2.0,642.0,215.0,1955.0,Boroondara,-37.7988,145.0726,Southern Metropolitan,7809.0,2959.5015576323985,2016,12,2016Q4,House,1740000.0,0.09195402298850575
Balwyn North,36 Kenny St,3,h,2251000.0,S,Marshall,2016-12-03,9.2,3104.0,3.0,1.0,2.0,888.0,137.0,1950.0,Boroondara,-37.8002,145.0949,Southern Metropolitan,7809.0,2534.90990990991,2016,12,2016Q4,House,1740000.0,0.29367816091954024
Balwyn North,13 Riverview Rd,4,h,2205000.0,PI,RW,2016-12-03,9.2,3104.0,4.0,2.0,2.0,750.0,214.0,1950.0,Boroondara,-37.7906,145.0788,Southern Metropolitan,7809.0,2940.0,2016,12,2016Q4,House,1740000.0,0.2672413793103448
Balwyn North,43 Sweyn St,3,h,1265000.0,S,hockingstuart,2016-12-03,9.2,3104.0,3.0,2.0,1.0,347.0,160.0,2011.0,Boroondara,-37.7947,145.1035,Southern Metropolitan,7809.0,3645.5331412103747,2016,12,2016Q4,House,1740000.0,-0.27298850574712646
Balwyn North,3 Highbury St,3,h,2000000.0,S,R&H,2017-03-04,9.2,3104.0,3.0,1.0,3.0,772.0,,,Boroondara,-37.7938,145.0732,Southern Metropolitan,7809.0,2590.6735751295337,2017,3,2017Q1,House,1740000.0,0.14942528735632185
Balwyn North,14 Kawarren St,4,h,1750000.0,S,Kay,2017-03-04,9.2,3104.0,4.0,2.0,2.0,673.0,185.0,1960.0,Boroondara,-37.7856,145.0918,Southern Metropolitan,7809.0,2600.297176820208,2017,3,2017Q1,House,1740000.0,0.005747126436781609
Balwyn North,88 Longview Rd,3,h,1450000.0,VB,Jellis,2017-03-04,9.2,3104.0,3.0,1.0,2.0,665.0,124.0,1950.0,Boroondara,-37.7862,145.0781,Southern Metropolitan,7809.0,2180.4511278195487,2017,3,2017Q1,House,1740000.0,-0.16666666666666666
Balwyn North,113 Maud St,4,h,2614000.0,S,Fletchers,2017-03-04,9.2,3104.0,4.0,2.0,2.0,772.0,150.0,1955.0,Boroondara,-37.7959,145.0787,Southern Metropolitan,7809.0,3386.0103626943005,2017,3,2017Q1,House,1740000.0,0.5022988505747127
Balwyn North,6 Stuart Ct,4,h,1825000.0,S,Fletchers,2017-03-04,9.2,3104.0,4.0,2.0,3.0,736.0,225.0,1958.0,Boroondara,-37.7944,145.1028,Southern Metropolitan,7809.0,2479.6195652173915,2017,3,2017Q1,House,1740000.0,0.04885057471264368
Balwyn North,61 Sutton St,4,h,2550000.0,S,Fletchers,2017-03-04,9.2,3104.0,4.0,1.0,4.0,847.0,,,Boroondara,-37.7954,145.0838,Southern Metropolitan,7809.0,3010.625737898465,2017,3,2017Q1,House,1740000.0,0.46551724137931033
Balwyn North,38 Nevada St,4,h,1570000.0,SP,Jellis,2016-06-04,9.2,3104.0,4.0,2.0,1.0,546.0,,,Boroondara,-37.7863,145.0905,Southern Metropolitan,7809.0,2875.4578754578756,2016,6,2016Q2,House,1740000.0,-0.09770114942528736
Balwyn North,325 Belmore Rd,5,h,3250000.0,PI,Jellis,2016-08-06,9.2,3104.0,3.0,4.0,2.0,886.0,520.0,2013.0,Boroondara,-37.804,145.0951,Southern Metropolitan,7809.0,3668.171557562077,2016,8,2016Q3,House,1740000.0,0.867816091954023
Balwyn North,45 Cityview Rd,4,h,1750000.0,PI,Ray,2016-08-06,9.2,3104.0,4.0,3.0,3.0,667.0,,,Boroondara,-37.7898,145.079,Southern Metropolitan,7809.0,2623.688155922039,2016,8,2016Q3,House,1740000.0,0.005747126436781609
Balwyn North,15 Ellendale St,3,t,1150000.0,S,Christopher,2016-08-06,9.2,3104.0,3.0,2.0,1.0,207.0,144.0,2003.0,Boroondara,-37.7893,145.092,Southern Metropolitan,7809.0,5555.555555555556,2016,8,2016Q3,Townhouse,1740000.0,-0.3390804597701149
Balwyn North,85 Tannock St,3,h,1575000.0,PI,Noel,2016-08-06,9.2,3104.0,3.0,2.0,2.0,645.0,,1953.0,Boroondara,-37.7851,145.0957,Southern Metropolitan,7809.0,2441.860465116279,2016,8,2016Q3,House,1740000.0,-0.09482758620689655
Balwyn North,6 Abassia St,6,h,1505000.0,S,hockingstuart,2016-05-07,9.2,3104.0,4.0,2.0,2.0,724.0,,,Boroondara,-37.8021,145.0985,Southern Metropolitan,7809.0,2078.729281767956,2016,5,2016Q2,House,1740000.0,-0.13505747126436782
Balwyn North,30 Clifton St,4,h,1572000.0,S,hockingstuart,2016-05-07,9.2,3104.0,4.0,2.0,2.0,662.0,330.0,1965.0,Boroondara,-37.798,145.1007,Southern Metropolitan,7809.0,2374.6223564954685,2016,5,2016Q2,House,1740000.0,-0.09655172413793103
Balwyn North,10 Seattle St,4,h,1500000.0,VB,Jellis,2016-05-07,9.2,3104.0,3.0,2.0,2.0,610.0,,,Boroondara,-37.784,145.0878,Southern Metropolitan,7809.0,2459.0163934426228,2016,5,2016Q2,House,1740000.0,-0.13793103448275862
Balwyn North,3/54 Severn St,4,t,1400000.0,S,Jellis,2016-05-07,9.2,3104.0,4.0,2.0,1.0,283.0,,,Boroondara,-37.7982,145.0688,Southern Metropolitan,7809.0,4946.9964664310955,2016,5,2016Q2,Townhouse,1740000.0,-0.19540229885057472
Balwyn North,108 Bulleen Rd,5,h,1750000.0,VB,Jellis,2016-11-07,9.2,3104.0,5.0,3.0,2.0,705.0,365.0,2013.0,Boroondara,-37.7851,145.0775,Southern Metropolitan,7809.0,2482.2695035460993,2016,11,2016Q4,House,1740000.0,0.005747126436781609
Balwyn North,5 Carrington St,4,h,1850000.0,VB,Jellis,2016-11-07,9.2,3104.0,4.0,2.0,2.0,619.0,254.0,1990.0,Boroondara,-37.8025,145.0843,Southern Metropolitan,7809.0,2988.691437802908,2016,11,2016Q4,House,1740000.0,0.06321839080459771
Balwyn North,40 Winfield Rd,3,h,1480000.0,PI,Marshall,2016-11-07,9.2,3104.0,3.0,1.0,2.0,992.0,,,Boroondara,-37.7977,145.1037,Southern Metropolitan,7809.0,1491.9354838709678,2016,11,2016Q4,House,1740000.0,-0.14942528735632185
Balwyn North,7 Clifton St,4,h,1400000.0,PI,hockingstuart,2016-10-08,9.2,3104.0,4.0,2.0,2.0,714.0,,,Boroondara,-37.8007,145.1002,Southern Metropolitan,7809.0,1960.7843137254902,2016,10,2016Q4,House,1740000.0,-0.19540229885057472
Balwyn North,3 Clive Ct,4,h,2130000.0,PI,RW,2016-10-08,9.2,3104.0,4.0,3.0,2.0,1274.0,275.0,1970.0,Boroondara,-37.7822,145.0907,Southern Metropolitan,7809.0,1671.8995290423861,2016,10,2016Q4,House,1740000.0,0.22413793103448276
Balwyn North,2/34 Doncaster Rd,3,u,1050000.0,S,Fletchers,2016-10-08,9.2,3104.0,3.0,2.0,2.0,244.0,,,Boroondara,-37.7933,145.0672,Southern Metropolitan,7809.0,4303.2786885245905,2016,10,2016Q4,Unit,1740000.0,-0.39655172413793105
Balwyn North,7 Page St,5,h,3690000.0,S,RW,2016-10-08,9.2,3104.0,4.0,4.0,2.0,624.0,154.0,1967.0,Boroondara,-37.802,145.0797,Southern Metropolitan,7809.0,5913.461538461538,2016,10,2016Q4,House,1740000.0,1.1206896551724137
Balwyn North,8 Cash St,4,h,1740000.0,VB,Jellis,2016-09-10,9.2,3104.0,4.0,2.0,2.0,610.0,275.0,1993.0,Boroondara,-37.7843,145.0891,Southern Metropolitan,7809.0,2852.4590163934427,2016,9,2016Q3,House,1740000.0,0.0
Balwyn North,7 Grieve St,4,h,2575000.0,PI,Jellis,2016-09-10,9.2,3104.0,4.0,3.0,2.0,657.0,355.0,2006.0,Boroondara,-37.7981,145.0904,Southern Metropolitan,7809.0,3919.330289193303,2016,9,2016Q3,House,1740000.0,0.47988505747126436
Balwyn North,39 Kawarren St,4,h,1388800.0,S,Jellis,2016-09-10,9.2,3104.0,3.0,2.0,1.0,517.0,247.0,1970.0,Boroondara,-37.783,145.0926,Southern Metropolitan,7809.0,2686.2669245647967,2016,9,2016Q3,House,1740000.0,-0.20183908045977011
Balwyn North,185 Doncaster Rd,4,h,1702000.0,PI,Jellis,2016-12-10,9.2,3104.0,4.0,2.0,2.0,715.0,,1939.0,Boroondara,-37.7943,145.083,Southern Metropolitan,7809.0,2380.4195804195806,2016,12,2016Q4,House,1740000.0,-0.021839080459770115
Balwyn North,41 Helston St,4,h,1800000.0,VB,Fletchers/One,2016-12-10,9.2,3104.0,4.0,2.0,4.0,587.0,165.0,1960.0,Boroondara,-37.7841,145.0953,Southern Metropolitan,7809.0,3066.4395229982965,2016,12,2016Q4,House,1740000.0,0.034482758620689655
Balwyn North,15 Moody St,4,h,2910000.0,S,Marshall,2016-12-10,9.2,3104.0,4.0,3.0,2.0,1070.0,247.0,1992.0,Boroondara,-37.7975,145.0716,Southern Metropolitan,7809.0,2719.626168224299,2016,12,2016Q4,House,1740000.0,0.6724137931034483
Balwyn North,53 Sweyn St,2,h,1400000.0,S,Noel,2016-12-10,9.2,3104.0,2.0,1.0,1.0,694.0,,,Boroondara,-37.7941,145.1042,Southern Metropolitan,7809.0,2017.2910662824208,2016,12,2016Q4,House,1740000.0,-0.19540229885057472
Balwyn North,2/11 Winfield Rd,2,t,860000.0,S,hockingstuart,2016-12-10,9.2,3104.0,2.0,2.0,2.0,204.0,,,Boroondara,-37.8008,145.10399999999996,Southern Metropolitan,7809.0,4215.686274509804,2016,12,2016Q4,Townhouse,1740000.0,-0.5057471264367817
Balwyn North,13 Lucifer St,4,h,1670000.0,SP,Marshall,2017-03-11,9.2,3104.0,4.0,3.0,2.0,689.0,,,Boroondara,-37.7871,145.0843,Southern Metropolitan,7809.0,2423.802612481858,2017,3,2017Q1,House,1740000.0,-0.040229885057471264
Balwyn North,141 Greythorn Rd,5,h,1500000.0,S,hockingstuart,2016-06-12,9.2,3104.0,3.0,1.0,1.0,800.0,,1950.0,Boroondara,-37.8023,145.0976,Southern Metropolitan,7809.0,1875.0,2016,6,2016Q2,House,1740000.0,-0.13793103448275862
Balwyn North,23a The Boulevard,5,h,2200000.0,VB,Noel,2016-06-12,9.2,3104.0,5.0,3.0,2.0,900.0,355.0,1955.0,Boroondara,-37.7868,145.0677,Southern Metropolitan,7809.0,2444.4444444444443,2016,6,2016Q2,House,1740000.0,0.26436781609195403
Balwyn North,62 Clifton St,4,h,1350000.0,VB,Jellis,2016-11-12,9.2,3104.0,4.0,2.0,2.0,815.0,,,Boroondara,-37.794,145.1019,Southern Metropolitan,7809.0,1656.441717791411,2016,11,2016Q4,House,1740000.0,-0.22413793103448276
Balwyn North,5 Lemon Rd,5,h,2070000.0,SP,Jellis,2016-11-12,9.2,3104.0,5.0,2.0,1.0,1138.0,,,Boroondara,-37.7928,145.1006,Southern Metropolitan,7809.0,1818.980667838313,2016,11,2016Q4,House,1740000.0,0.1896551724137931
Balwyn North,21 Maud St,3,h,1300000.0,S,Marshall,2016-11-12,9.2,3104.0,3.0,1.0,2.0,464.0,,,Boroondara,-37.7945,145.0667,Southern Metropolitan,7809.0,2801.7241379310344,2016,11,2016Q4,House,1740000.0,-0.25287356321839083
Balwyn North,1 Bolinda Rd,3,h,1700000.0,VB,Fletchers,2016-08-13,9.2,3104.0,3.0,2.0,3.0,763.0,168.0,1960.0,Boroondara,-37.7935,145.0865,Southern Metropolitan,7809.0,2228.0471821756228,2016,8,2016Q3,House,1740000.0,-0.022988505747126436
Balwyn North,35 Corhampton Rd,3,h,1750000.0,VB,Noel,2016-08-13,9.2,3104.0,2.0,1.0,2.0,854.0,,1948.0,Boroondara,-37.7971,145.0672,Southern Metropolitan,7809.0,2049.1803278688526,2016,8,2016Q3,House,1740000.0,0.005747126436781609
Balwyn North,151 Bulleen Rd,3,h,980000.0,SP,Fletchers,2016-05-14,9.2,3104.0,3.0,1.0,1.0,542.0,,,Boroondara,-37.7832,145.0779,Southern Metropolitan,7809.0,1808.1180811808117,2016,5,2016Q2,House,1740000.0,-0.4367816091954023
